ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,658981,Late repair of injuries of the anal sphincter,eng,Acta radiologica (Stockholm Sweden : 1987),nan,0035-9157 (Print) 0035-9157,64,12,1/11/05,1187-9,{A. G. ParksJ. F. McPartlin}
2,498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,Intensivmedizin und Notfallmedizin,Nutrients,nan,53,3,1/13/01,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
3,595469,Diagnosis of peripheral lung cancer with three echoic features via endobronchial ultrasound,English,Journal of Rheumatology,nan,1099-1166,24,4,1/7/01,283-4,{Marlon BargEmilio L StreckLara M GomesVanessa M AndradeDaniela D LeffaFelipe Dal-PizzolFabricia PetronilhoFrancieli VuoloMilena Carvalho-SilvaFernanda BalbinotGislaine T Rezin}
4,215650,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],nan,nan,nan,nan,19,7,10/24/14,nan,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,499983,Interatrial conduction measured during biventricular pacemaker implantation accurately predicts optimal paced atrioventricular intervals.,eng,Public health reports (Washington D.C. : 1974),nan,Apr-74,45,0,1/6/01,43-49,{S. A. FrenchM. StoryP. J. Hannan}
6,299635,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,eng,nan,nan,nan,35,4,3/1/00,34-41 ST  - Shedding health risks with bariatric weight loss surgery-,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730,The impact of advancing age on P-glycoprotein expression and activity: current knowledge and future directions,eng,nan,nan,Feb-65,29,2,7/15/03,196-203,{Franco RovielloDaniele MarrelliCarla VindigniValeria PascaleGiovanni Corso}
8,741279,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,nan,nan,nan,22,3,1/1/07,441-55,{V CerabonaM WachockaU MoscatoV CamisaM G TucciS ZaffinaV MontaldiA Poscia}
9,396821,Mental health symptoms in a population based survey of minority farm operators,nan,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,nan,0196-0644,25,7,1/12/01,750-758 9p,{D C ThompsonF P Rivara}
10,113363,Effects of control over office workspace on perceptions of the work environment and work outcomes,nan,nan,nan,nan,1,2,3/1/00,S67-8 1p,{K. FlemingK. DonatoK. Leszczynski}
11,886237,Right ventricular outflow tract reconstruction with decellularized porcine xenografts in patients with congenital heart disease.,nan,Acta radiologica (Stockholm Sweden : 1987),nan,nan,14,5,nan,287-291,{P MroczkowskiR KubeA DzikiB MoranH LippertI Gastinger}
12,729686,Recovery of postoperative cognitive function in elderly patients after a long duration of desflurane anesthesia: a pilot study.,eng,Journal of Oral & Maxillofacial Surgery,nan,0196-6553,94,4,1/15/01,10213-10224,{Carol E BarnewoltHiroto HatabuMizuki NishinoDeborah LevineHenry A FeldmanJudy A EstroffValerie L Ward}
13,278396,Cognitive deficits and psychosis in Parkinson's disease: A review of pathophysiology and therapeutic options,eng,Acta Obstet Gynecol Scand,nan,0022-0345,92,6,1/9/01,nan,{Anas YounesL Jeffrey MedeirosFrederick HagemeisterMaria Alma RodriguezSima JehaPaolo FiumaraLynne V AbruzzoJohn T ManningJorge RomagueraAndre GoyDan JonesPeter McLaughlin}
14,965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,nan,nan,nan,8,1,1/8/01,1127-33,{Gao YHLin ZYZhang GJZhong NSChen RCGao YTang YLin ZMXu GLi HMGuan WJ}
15,299635,Modelling the effects of subjective and objective decision making in scientific peer review.,eng,nan,nan,nan,17,8,3/1/00,e867-98,{T. Sone}
16,737167,Latex allergy in atopic children.,eng,nan,nan,0160-9289,63,6,1/15/09,66,{R S LeverS A Holme}
17,491837,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,nan,nan,nan,nan,7,4,1/13/12,185-90,{S. PelofskyP. D. Hunter}
18,282987,THE BRITISH MEDICAL ASSOCIATION.: SEVENTY-EIGHTH ANNUAL MEETING IN LONDON,eng,Pathologie non allergique et exposition aux moisissures domestiques.,nan,1943-5681,0,4,nan,251-264,{C. C2  - Pmc2827243 C6  - Nihms132141 DA  - Oct DO  - 10.1053/j.gastro.2009.06.060 DP  - NLM ET  - 2009/07/15 Di LorenzoM. SapsS. NurkoP. HymanN. YoussefA. MirandaJ. Cocjin}
19,854628,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,English,Neuropharmacology,nan,Jan-68,139,3,1/14/01,366-74,{Y TakagiN HashimotoY Goto}
20,497593,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,eng,Medicine and science in sports and exercise,Med Sci Sports Exerc,nan,6,6,1/7/06,20,{Rudd R.Guez G.Sanders L.M.Baur C.Shaw J.S.}
21,82614,Say yes? Say no?,eng,Cancer prevention research (Philadelphia Pa.),nan,nan,6,12,3/15/04,1304-16,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
22,657210,A performance improvement process to tackle tachysystole,eng,nan,nan,nan,40,6,1/11/01,nan,{Demetrios J. KutsogiannisNeil K. SinglaFrances ChungStephen R. LaneJeremey LevinJoseph V.J. PergolizziBrendan JohnsonLinda BlackburnSonia K. Singla}
23,514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,eng,Critical reviews in oncology/hematology,Mycoses,1432-086X,37,8,1/6/01,1530-9,{C. JayasumanaR. GajanayakeS. Siribaddana}
24,583682,Exposure to second-hand smoke and the risk of tuberculosis in children and adults: a systematic review and meta-analysis of 18 observational studies.,nan,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,nan,1527-7755,104,0,1/13/01,nan,{Ariela NoyLawrence D KaplanYanxing YuAlexandra M LevineRichard F AmbinderSusan E KrownBruce J DezubeLan LinJeannette Y LeeGary S Hayward}
25,113363,An Assessment of Voluntary Adolescent Mental Health Screening and Referral in a Children's Hospital Emergency Department,nan,nan,nan,nan,56,23,3/1/00,nan,{Enie Akhtar Bt NawawiAhlam M Al-KharabshehTsia-Shu Lo}
26,292018,Examining waiting placement in hospital: utilization and the lived experience.,nan,nan,nan,1523-536X,30,-1,1/14/03,183-9,{A. R. AleandriD. ManciniT. CosentiniR. Le DonneN. Colavita}
27,378490,Services for children and adolescents with autism spectrum disorders: payment issues.,nan,JAMA neurology,J Clin Psychiatry,1555-2101,18,12,1/12/06,1892-900,{John B. Sell}
