id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
497593,Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,nan,nan,nan,14-Feb,8,19,1/13/01,7-Jan,{T. KatayamaK. FurutaM. AkahaneH. OnoR. Fujitani}
774830,Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,eng,PLoS One,nan,1095-9203,54,12,1/1/88,nan,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
185291,Comparison of tunnel positions in single-bundle anterior cruciate ligament reconstructions using computer navigation.,eng,nan,nan,nan,4,1,1/1/92,2335-2340,{Shauna S Roberts}
349150,Chronic pain-associated behaviors in the nursing home: resident versus caregiver perceptions,nan,Journal of the American Dietetic Association,nan,nan,92,2,nan,319-324,{A AvenellH H Handoll}
191908,CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,nan,Energy Policy,nan,1662-8063,10,0,1/12/01,298-308,{Demetrios J. KutsogiannisNeil K. SinglaFrances ChungStephen R. LaneJeremey LevinJoseph V.J. PergolizziBrendan JohnsonLinda BlackburnSonia K. Singla}
220950,Inosiplex for treatment of alopecia areata: A randomized placebo-controlled study,eng,nan,nan,nan,24,6,1/13/01,38-41,{S. GosaviS. Gosavi}
737167,Acute and Persistent Postoperative Pain after Breast Surgery,nan,nan,nan,nan,139,1,1/9/01,708-715,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
441902,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,nan,Journal of the American Academy of Child and Adolescent Psychiatry,nan,nan,24,1,11/13/12,13-May,{Joel W. GrubeJuan A. LunaDavid A. GilderJennifer RobertsDaniel CalacCindy L. EhlersRoland S. Moore}
850418,Energy and fat intakes of children and adolescents in the united states: data from the national health and nutrition examination surveys,nan,RADIOLOGY,nan,1879-0461,41,1,6/14/02,477-83,{Emile E VoestSaskia C C M TeunissenAlexander de GraeffMarija Trajkovic-Vidakovic}
968211,Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [Abstract],English,Laboratory Investigation,nan,0023-6837,13,0,1/15/09,1173-8,{S. H. SichererD. Y. M. Leung}
843485,Role of core-needle biopsy in thyroid nodules with initially nondiagnostic cytologic results.,eng,Transactions of the Royal Society of Tropical Medicine and Hygiene,nan,nan,106,5,1/12/02,110-6,{J R DettoriB D PearsonC J BasmaniaW M Lednar}
145770,Comparing modelling techniques for analysing urban pluvial flooding.,ger,Oral diseases,nan,1522-726X,77,6,1/11/04,25-26,{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos L_pez-Send_nPhilippe Gabriel StegKay Lee Park}
82614,Say yes? Say no?,eng,Cancer prevention research (Philadelphia Pa.),nan,nan,6,12,3/15/04,1304-16,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
35875,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,nan,nan,nan,nan,126,12,1/12/01,nan,{H. CavusogluT. CanseverA. YilmazY. AydinH. A. GencA. M. MuslumanI. Colak}
424870,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,nan,Critical reviews in oncology/hematology,Eur J Cardiovasc Nurs,-9262,26,288,1/15/01,183-9,{Cecilia Bj_rkelundMargaretha Jerlock}
592201,Manual versus electric vacuum aspiration for first-trimester abortion: a systematic review,nan,nan,nan,nan,2013,7,1/12/01,362-9,{Y. FengyingY. HainaiW. JianxiongT. Sijie}
280418,THE BRITISH MEDICAL ASSOCIATION.: SEVENTY-EIGHTH ANNUAL MEETING IN LONDON,nan,nan,nan,1092-8529,89,6,nan,203-277,{Kevin PatrickJill RybarLinda HillSara BairdRaul CoimbraSusanna Concha-Garcia}
261121,Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [Abstract],nan,European respiratory journal,nan,nan,44,0,1/15/01,P3021,{Francitorra MESanchez GSManrique CAVelasco TTCastany A REscriche XFFernndez CSFornell LLlvarez SFernndez EARodriguez MVFSim_ MRMayo EP}
49274,Disordered eating acculturation and treatment-seeking in a community sample of Hispanic Asian Black and White women,eng,nan,nan,nan,12,14,1/14/01,305-11,{Donna M WilsonJessica A HewittRalph MagnusJill VihosKaren PetersonNancy Barnes}
180827,Prefrontal hypoactivation and recovery in insomnia.,eng     por,nan,nan,nan,24,0,1/15/01,Aug-71,{A. KelirisI. KoutsourelakisA. MinaritzoglouS. Zakynthinos}
