ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295,20010101,qug,nan,Proceedings of the Royal Society of Medicine,1467-9450,6j4,nan,1/1/71,ķ1187-9,}niltraPcM .F .JskraP .G .A{
2,100986,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseases,nan,1537-6613,-1,-1,2/15/04,nan,?
3,738322,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,gne,-1,Nnfnak H Upitralmun,0301-4738,5i4,4,nan,283-4,{Hitgjfga JvckakyShwvflkant SretcrSugvvta PashjdO Vimcnelwhvrji}
4,20010101,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,Turo'zzv rsskitatlrb upiggak,nan,nan,84,0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,8036Ĺ53,nan,nan,Dermatologic clinics,nilC lotamreD,1558-0520,33,4,1/15/10,835-40,nan
6,98234,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,egh,Turo'zzv rsskitatlrb upiggak,nan,nan,nan,0,1/9/01,nan,?
7,823730,Activation and blockade of beta adrenoceptors in common cardiac disorders,Some college,-1,nan,0007-1420,29,2,1/1/73,324-326,{Erik E SuarezBridget N FahyBrian A BrucknerCourtenay R BruceNathan G AllenHarvey L Gordon}
8,729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,Turo'zzv rsskitatlrb upiggak,nan,nan,164,1,1/1/07,nan,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,396821,Awareness of deficits and on-road driving performance,English,Cllmigdl Bxudlkaycfonohlst,nan,nan,52,7,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasCᗷ. BurtR. C. Bryer}
10,3Ĺ27157,nan,nan,Turo'zzv rsskitatlrb upiggak,nan,nan,79,938,1/3/10,158-61,nan
11,184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,nan,Transfusion,nan,1361-9209,14,5,nan,317-325,{J. L. LiP. Newcomb}
12,729686,20010101,English,Igtetiatopnwm jokwjxn oy vlpnixam ans fx'rdhmevtwk medicybc,nan,nan,8,?,1/15/01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
13,278Ń396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eug,Affz Obdfrh Gvgecpm Wsabg,nan,0001-6349 (Print) 0001-6349,k92,6,1/13/01,711-5,{T. S. MikkolaS. VuorentoO. YlikorkalaM. Vaisanen-TommiskaP. Rahkola-Soisalo}
14,965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,World J Pediatr Congenit Heart Surg,nan,1547-52Ǎ71,8,5,1/11/01,S40,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
15,53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,dny,Turo'zzv rsskitatlrb upiggak,nan,nan,66,88,1/11/01,1245-50,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
16,13601,Oebrx xlucrgy mv cholic zkupdfak.,eng,British Journal of Dermatology.,nan,0007-0963,140,nan,5/1/99,919-21,{R S LeverS A Holme}
17,668310,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,eĺng,-1,Some college,1178-1998,7,-1,Alabama,185-90,{Kwok M HoGeoffrey J DobbSteven A R Webb}
18,nan,nan,eng,sweiveR citametsyS fO esabataD enarhcoC ehT,nan,1469-493X,0,4,Alabama,Some college,{J. H. LittellM. PopaB. Forsythe}
19,478292,20010101,eng,Acta Neurochirurgica,nan,nan,139,nan,1/1/97,257-8,{Y TakagiN HashimotoY Goto}
20,43736,Wxfcct kf peszlnnf jaeyhiqoe mt mrcjwjidak rffeetivqntsv ztd evyycmenwh in eyclldcs.,eng,Medicine and science in sports and exercise,Med Sci Sports Exerc,0195-91Ǌ31,39,6,1/7/06,991-5,{James C MartinIan MayhewLee M RomerThomas Korff}
21,nan,.ecim ni sisenegiromut dna noitammalfni citapeh detomorp-teid taf hgih detaitini-enimasortinlyhteid stibihni dica cionepocyl-'01-opa etilobatem enepocyL,eng,Cancer prevention research (Philadelphia Pa.),nan,1940-6215,nan,12,nan,Some college,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
22,163526,A performance improvement process to tackle tachysystole,Some college,Turo'zzv rsskitatlrb upiggak,nan,nan,40,nan,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,{V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von GruenigenA. M. BurkettJ. DoyleT. H. Kenny}
23,514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,eng,Cardiovascular and interventional radiology,Cardiovasc Intervent Radਖ਼iol,nan,j37,6,1/14/12,1530-9,{John M O__CallaghanRobert D MorganPeter J MorrisSimon R Knight}
24,569841,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,eng,nan,J. Clin. Oncol.,1527-7755,27,15,5Ş/20/09,2496-502,{Ariela NoyLawrence D KaplanYanxing YuAlexandra M LevineRichard F AmbinderSusan E KrownBruce J DezubeLan LinJeannette Y LeeGary S Hayward}
25,3Ĺ27157,20010101,nan,Turo'zzv rsskitatlrb upiggak,nan,nan,47,?,1/3/10,Some college,nan
26,20010101,Examining waiting placement in hospital: utilization and the lived experience.,rnf,Global journal of health science,nan,1916-9736,nan,2,nan,nan,{Donna M WilsonJessica A HewittRalph MagnusJill VihosKaren PetersonNancy Barnes}
27,378490,A prospective observational study of obesity body composition and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.,gne,The Journal of clinical psychiatry,nan,1555-2101,Some college,12,1/8/12,1892-900,{Isabella SorecaAndrea FagioliniDavid J KupferBret H GoodpasterSara B Fleet-MichaliszynAmy D OttoJohn M Jakicic}
28,971878,Diminished A-cell secretion in the early phase of type I diabetes mellitus,nan,Turo'zzv rsskitatlrb upiggak,nan,nan,35,11,nan,Some college,{S. SrikantaO. P. GandaR. E. Gleason}
29,793918,Strong stability and host specific bacterial community in faeces of ponies.,eng,PLoS One,PloS one,1932-6203,8,nan,1/13/01,e75079,{Tina M BlackmoreKirsty DougalHilary J WorganEric PinlocheGemma CurtisC Jamie NewboldNeil R McEwanSusan E GirdwoodPat A HarrisCaroline McG ArgoAlex Dugdale}
30,819166,Responses to open peer commentaries on the subjective brain identity and neuroethics,eng,Smcrlcdh Uourjap mf Vuoauhicv,nan,15265161 (ISSN),9,9,1/9/01,nan,{ԦG.R. Gillett}
31,880881,nan,kor,-1,Hkreav J Jestvofjewvup,1598-9992,52,?,1/8/12,Some college,{Seung Woo ParkJae Bock ChungSang Kyum KimSi Young SongJoo Won ChungHo Keun KimJoo Hee SeoSeungmin Bang}
32,629530,20010101,eng,Eur. Heart J.,nan,0195-668X,2j8,17,90/7/1,2077-ū86,{Carolyn H McCabeShaun G GoodmanFrans Van de WerfDavid A MorrowElliott M AntmanEugene BraunwaldKenneth W MahaffeyMarc CohenIan B MenownSabina A MurphyCharles Michael Gibson}
33,nan,Optimal Starting Age for School Attendance: FY76 Issue Analysis,hsilgnE,Turo'zzv rsskitatlrb upiggak,nan,nan,0,0,nan,143-156,{Marilou Madden}
34,379737,Bone density and body composition in young women with chronic fatigue syndrome.,nan,Neuroprotectiv࣐e Agents,nan,0077-8923,904,-1,5/1/00,625-7,{F GatesP Clifton-BlighG FulcherL HoskinR Hansen}
35,676042,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,eng,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,J Stroke Cerebrovasc Dis,nan,2f4,2,1/15/02,nan,{Yan-Xin ZhaoJun-Chao XieXue-Yuan LiuHan Yan}
36,20010101,Child sexual abuse as a risk fⵢactor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan Nigeria.,nan,Ghjnfrxble Xiljbrdn atd Yohfi Ffudifs,nan,?,3,?,1/8/01,243-248,{B O Olley}
37,968125,Successful treatment of lung cancer by multimodal endobronchial interventions,English,Respiration; international review of thoracic diseases,Respiration,0025-7931,88,2,1/14/01,144-147,?
38,66016Ļ8,?yregrus lainarcartni retfa emoctuo tceffa ytisebo seod :yregrusoruen dna taF,eng,Neurosurgery,Utudoaurygvy,1524-4040,j64,?,1/9/02,316-26; discussion 326-7,{R Loch MacdonaldFarbod Asgarzadie-GadimYeon Gyoe JangDaniel J CurryRachel N YanowitchKim E SchultheissJocelyn TolentinoJ_rgen L_ders}
39,732534,DE eht ni ecneloiv gnibruc :yaw s'mrah fo tuO,ˊEnglish,nan,nan,0899-6210,8,10,1/1/95,Some college,{K. Sandrick}
40,nan,The incidence of contrast-induced nephropathy in trauma patients.,eng,European journal of emergency medicine : official journal of the European Society for Emergency Medicine,Eur J Emerg Med,1473-5695,51,3,1/8/06,Some college,{Rich SinertShoma DesaiAntonia HippCarmen Lopez}
41,372175,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,nan,Int. J. Radiat. Oncol. Biol. Phys.,nan,0360-3016,nan,?,nan,S398,{Kooy H.Hong T.S.Symonifka J.Depauw N.Wo J.Y.}
42,110072,Ucwit UAIF leysox xlsvatiun indusdd hi igiviczl rralnunn ld tfdtzwd zffxr knilavtral duikjn cxrodhf artqry mzcuusipg yi fats.,nan,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,Rheumatology,?,nan,nan,1/14/10,1681-7,{Jacques Van HoeckeHayat BanoujaafarChristine MarieClaude M Mossiat}
