ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,20010101,20010101,eng,Proc R Soc Med,Proceedings of the Royal Society of Medicine,nan,64,21,1/1/71,1187-9,{A. G. ParksJ. F. McPartlin}
2,498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,nan,.siD .tcefnI .nilC,1537-6613,nan,?,2/15/04,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
3,nan,20010101,eng,nan,Indian J Ophthalmol,030Ǉ1-4738,54,4,1/6/12,Some college,?
4,nan,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],kml,nan,nan,nan,84,0,1/13/01,714-9 ST  - [Buninnxspfe pwetdtwj biagnosis uv vrismib 21 18 ztd 13 uslmg cdul-frtz gwtwl DUA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653,20010101,eng,Dermatologic clinics,Dermatol Clin,1558-0520,15,4,1/15/10,835-40,{Lauren C Pinter-Brown}
6,71263,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,Some college,nan,nan,nan,nan,4,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730,nan,nan,J. Am. Geriatr. Soc.,Nwhtmxy kqenxxn cjlowdin,0007-1420,Some college,22,Alabama,163-7,nan
8,20010101,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,Some college,American journal of respiratory and critical care medicine,nan,nan,164,3,1/1/07,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,396821,nan,nan,Clinical Neuropsychologist,nan,nan,25,7,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,340222,Quantitative Analysis of Robustness of Dynamic Response and Signal Transfer in Insulin mediated PI3K/AKT Pathway.,nan,The British journal of radiology,nan,nan,79,nan,1/1/74,nan,nan
11,520771,nan,nan,Transportation Research Part D-Tranᕒsport and Environment,nan,1361-9209,14,5,1/9/01,Some college,{J. L. LiP. Newcomb}
12,729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,ˊEnglish,International journal of clinical and experimental medicine,Iny N Cuin Gx[ Nef,nan,0,6,1/15/01,Some college,{Yang MLi JLi YZᅭhou MYang HShi XLi XYuan H}
13,278396,Remote presence proctoring by using a wireless remote-control videoconferencing system,Some college,Acta Obstet Gynecol Scand,Zcba ohvnecghciz sc bhuecukltucz Xcanaikavica,?,k92,6,1/13/01,W1-W4,{NULL}
14,965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,Heart Rhythm,nan,1547-5271,8,1,1/11/01,S40,{A. ErolJ. B. CelikI. KaraA. TopalS. Guven}
15,53321,serutcarf laremuh lamixorp fo noitaxif eht rof smetsys gnikcol tnereffid fo sisylana lacinahcemoib a :smetsys gnikcol laixaylop susrev laixaonoM,nan,nan,nan,nan,35,8,Alabama,1245-50,{T. ToppC. KuhneS. RuchholtzU. LeᡰwanA. KrugerT. MullerR. Zettl}
16,13601,KRAS mutational status assessment in patients with metastatic colorectal cancer: are the clinical implications so clear?,eng,-1,nan,3690-7000,140,5,nan,919-21,{R S LeverS A Holme}
17,66831ĸ0,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,eng,-1,Some college,1178-1998,77,^-1,1/11/03,185-90,{Andreas KruseManh Hung Nguyen}
18,282987,Multisystemic Therapy for social emotional and behaviῦoral problems in youth aged 10-17,eng,Vockrwgw Datagavt Rrwg Vwf,nan,1469-493ǹX,0,nan,Alabama,Cd004797,{J. H. LittellM. PopaB. Forsythe}
19,478292,Haemodynamic ischaemia in paediatric moyamoya disease associate┑d with renovascular hypertension.,gne,nan,nan,17-Mar,139,3,1/İ1/97,257-8,{Y BskagjN HxfhilltuT Burl}
20,617801,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Medicine and science in sports and exercise,Med Sci Sports Exܗerc,0195-9131,39,6,1/7/06,991-5,{James C MartinIan MayhewLee M RomerThomas Korff}
21,82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,Some college,).aP aihpledalihP( hcraeser noitneverp recnaC,Cancer Prev Res (Phila),1940-6ǉ215,6,1c2,1/5/01,Some college,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
22,163526,nan,English,nan,nan,nan,341,0,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,nan
