id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
nan,Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,nan,Tob Control,O.Xj.Fegixgr.Soe.,nan,Some college,7,1/13/01,1182-7,{Jamehl L. DemonsJeff D. WilliamsonKathryn E. CallahanJames LovatoJanice S. LawlorHal H. AtkinsonAnn LambrosFranklin S. WatkinsKaycee M. SinkBrooke R. DavisMary F. Lyles}
681305,Pooled analysis of non-union re-operation infection and approach related complications after anterior odontoid screw fixation.,eng,PLoS One,KmuW one,?,9,?,1/14/01,e103065,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
nan,Behaviour change interventions to promotⷬe prescribing of generic drugs: a rapid evidence synthesis and systematic review.,eng,ˋBmj Open,nan,2044-6055,4,3,Alabama,e004623,{Thirimon Moe-ByrneDuncan ChambersMelissa HardenCatriona McDaid}
420138,20010101,nan,Koucnap ix tgv Zlarucwj Viefedyc Wvwlciatmoh,Some college,1878-3570,nan,3,1/1/92,Some college,}J laboSHS dnalsnetS{
180827,nan,nan,Energy Policy,nan,nan,47,2,1/12/01,nan,{W. YuR. PaganiL. Huang}
220950,Forensic odontology: A prosthodontic view,Korean,nan,nan,nan,4,1,1/12/01,38-41,{S. GosaviS. Gosavi}
850788,nan,nan,nan,nan,nan,10,4,nan,nan,{N. Klauber-DeMoreK. FechoN. R. MᩂillerW. S. BlauS. A. MerrittC. S. Hultman}
55412,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,nan,American Indian and Alaska Native Mental Health Research: The Journal of the National Center,nan,1533-7731,Some college,2,nan,26-Jan,nan
397190,A randomized double-blind placebo controlled triphosphate in study of oral adenosine subacute low back pain,nan,Critical reviews in oncology/hematology,Some college,?,Some college,1,1/12/10,130-48,nan
968211,Ebus-tbna yields multiple gene analyses and a panel of immun㡥ohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,Some college,Laboratory Investigation,nan,00Ǌ23-6837,95,0,1/15/01,100A,{Z. MalekiO. Nikolskॊaia}
843485,Pathways of care-seeking during fatal infant illnesses in under-resourced South African settings.,eng,Transactions of the Royal Society of Tropical Medicine and Hygiene,Ysaja. R. Suw. Crpp. Oae. Ftg.,nan,106,2,1/12/02,110-6,{Peter J WinchMickey ChopraCynthia S MinkovitzDebra JacksonAlyssa B Sharkey}
145770,20010101,ajg,nan,Dcbhrtaf Zardpptawc Ituxrv,1522-726X,58,3,1/11/04,617-22,{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos L_pez-Send_nPhilippe Gabriel StegKay Lee Park}
82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,nan,Cancer prevention research (Philadelphia Pa.),nan,1940-6215,6,12,nan,1304-16,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
187769,Feasibility of using hospital personnel to create a sustainable CPR training program for family members of hospitalized patients,nan,nan,nan,nan,14,?,1/1/85,nan,{J. LeB. RiegelB. J. BobrowA. L. BlewerB. S. AbellaM. LearyD. Buckler}
752280,yduts tolip a--niap tsehc denialpxenu htiw nemow ni margorp noitnevretni roivaheb evitingoc A,Some college,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,Some college,1474-5151,Some college,nan,1/1/99,Some college,{Wfciood Bh_skelujdLqrfaterhw Jzrlkbk}
Ĺ764224,High intensity interval exercise training in overweight young women,nan,nan,nan,nan,52,?,1/12/01,Some college,{Y. FengyingွY. HainaiW. JianxiongT. Sijie}
836847,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,nan,Curr. Probl.ܣ Cardiol.,nan,?,33,5,nan,203-277,{Elefteriades J.A.}
470615,Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [ⒺAbstract],nan,European respiratory journal,nan,nan,nan,0,nan,141,nan
49274,Randomized double-blind placebo-controlled trial of the 5-HT1A recep䖰tor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome,eng,nan,nan,nan,Some college,?,1/8/01,2562-9 SE  - Fztqjmnxra douvuc-boykq imsgeuk-cinytollgd ytiaj of bhe 5-HT1A ffdzlykf amdwtojisr EZQ7371 varyrztt konugrcwwjs (robwlxonxj vartrcte monokycrste) in pwbhzhtv qofv lrrifzboq fiwek syggxike-,nan
nan,Izrap vhstoiss iv wnmrdrf xen dwrfsese fnorint wrrwgeuvv: c gandmomzzg ikzfgym-cintrpjlzg cgosxjvtf ttoak,Engliˊsh,nan,nan,nan,24,22,1/15/01,6-061,{G. AbrahamJr. Fromm R. E.P. E. MarikJ. VaronP. Careau}
