ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295,Late repair of injuries of the anal sphincter,eng,-1,Some college,0035-9157 (Print) 0035-9157,64,12,Alabama,1187-9,{HongQiang WangDwain K IrvinAshley GraggXiao-xue ZhangChristopher J WheelerKeith L BlackLucia VeigaRyan CordnerMandana ZandianAkanksha PanwarEmmanuel JouanneauYuying ZhaiShyam GoverdhanaArmen Mardiros}
2,723057,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,Jhe Jugrmal od ubreztikuv aifeases,J. Infectҍ. Dis.,1537-6613,-1,-1,2/15/04,nan,{Yalgmviia Q CiusjyovcJxsoslav YmrazInmjkp NawtwncrLqurke Rtpiqnet-[cugvCoktor W Vouzhkov}
3,789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,enĺg,)nwotsregaH( deM csavoidraC J,Indian J Ophthalmol,0301-4738,54,4,1/6/12,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,169865,nan,poŋl,nan,nan,nan,153,0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{Akikazu IshiharaMaxey L WellmanAndrea R BarnabaAlicia L BertonePeter M KanterRebecca A SchwarzeMichael L SchmallRon L GenoveseLisa J ZekasKatharine B Lewis}
6,98234,20010101,English,nan,nan,nan,10,8,1/ĩ9/01,945-52,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,20010101,Activation and blockade of beta᭺ adrenoceptors in common cardiac disorders,eng,Vw Lqq Buul,British medical bulletृin,0007-1420,29,2,1/1/73,163-7,nan
8,729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACૡT LANGUAGE:English,-1,nan,nan,164,11,nan,nan,{A GaitatzisM ങR TrimbleJ W Sander}
10,340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,The British journal of radiologఐy,nan,nan,Some college,938,1/6/01,158-61,nan
12,729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,nan,nan,Int J Clin Ex־p Med,1940-5901,61,nan,1/15/01,2571,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
13,nan,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,-1,Agtx ocruebryeic en jtuevouogivz Sczudimsview,0001-6349 (Print) 0001-6349,92,6,Ŕ1/13/01,625-31,?
14,965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,HearҐt Rhythm,nan,1547-5271,8,5,Alabama,W40,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
