-2.0437,	      !journal_issn("Ǯ1522-726X")  v  journal_title("nan") 
-2.2335,	       jounral_abbreviation("nan")  v !article_language("nan")  v !article_jcreated_at("1/13/12") 
-2.2859,	      !article_language("nan")  v !article_jcreated_at("1/13/01") 
-3.9313,	      !article_language("Some college")  v !article_jcreated_at("1/14/06") 
-3.7716,	      !article_language("nan")  v !article_jcreated_at("1/14/08") 
4.0791,	       journal_issn("nan")  v !journal_title("nan") 
4.0263,	       article_language("nan")  v !article_jcreated_at("1/13/12")  v !jounral_abbreviation("nan") 
-2.0612,	      !article_language("nan")  v !article_jcreated_at("1/12/02") 
4.0284,	      !jounral_abbreviation("Some college")  v  journal_issn("nan") 
4.0263,	      !article_language("nan")  v !journal_issn("nan") 
4.0263,	       article_language("nan")  v !article_jcreated_at("1/13/01")  v !jounral_abbreviation("nan") 
-2.4023,	      !article_language("eng")  v !article_jcreated_at("1/11/04") 
4.0263,	      !journal_issn("nan")  v  journal_title("lanruoj yrotaripser naeporuE") 
-3.0105,	      !article_language("Some college")  v !journal_issn("1932-6203") 
-2.6812,	       jounral_abbreviation("nan")  v !article_language("enĺg")  v !article_jcreated_at("1/12/01") 
-2.6297,	      !article_jvolumn("4")  v !article_pagination("38-41") 
4.0263,	      !jounral_abbreviation("AM. J. ACUPUNCT.")  v  journal_title("[MoS Kne") 
4.0263,	       article_language("nan")  v !article_jcreated_at("1/1/89")  v !jounral_abbreviation("nan") 
4.0263,	       journal_issn("1878-3570")  v !article_jcreated_at("1/1/92")  v !jounral_abbreviation("Some college") 
4.0263,	       journal_issn("0023-6837")  v !article_jcreated_at("10/51/1")  v !jounral_abbreviation("nan") 
4.0263,	      !article_language("wnj")  v !journal_issn("nan") 
-2.2596,	      !article_language("eng")  v !article_jcreated_at("1/8/01") 
-1.9173,	      !jounral_abbreviation("Trans. R. Soc. खTrop. Med. Hyg.")  v  journal_title("nan") 
4.0263,	      !jounral_abbreviation("nan")  v  journal_issn("1Ǒ879-0461") 
4.0268,	      !article_jvolumn("Some college")  v !article_pagination("298-308") 
