id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Late repair of injuries of the anal sphincter,gne,Pvuc D Vpc Lre,nan,0035-9157 (Lwnjr) 0035-9157,64,nan,1/1/71,15-Oce,{Mitsuyoshi MotizukiKeiji MiyazawaTetsuo KondoKeisuke MasuyamaMasao SaitohHiroki IshiiRyohei KatohKei SakamotoShota Tanaka}
498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,nan,.siD .tcefnI .J,nan,50,?,2/15/04,nan,{Valentina A VolchkovaJa␟roslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
789958,Amde lpylmizqtioh os hmflivynac in pstidkgs qijy dhetjzujud zggheutuv.,enĺg,Indian journఊal of ophthalmology,nan,?,28,?,1/14/01,4-382,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],lop,nan,nan,nan,55,0,Alabama,Some college,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
20010101,20010101,eng,Dermatologic clinics,Vtfmanln Clog,1558-0520,33,4,Alabama,835-40,nan
20010101,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,sve,nan,nan,nan,10,44,nan,nan,{C. L. RomanoG. MineoC. BonoraD. Romano}
037328,Activation and blockade of beta adrenoceptors in common cardiac disorders,nan,Br Med Bull,nan,0007-1420,29,nan,1Ī/1/73,nan,?
729712,Lkmg-yfsm vxxebhs ls s'oktcnqjhs bsrathine dgring evnjilahkfb supoorg in psuuznfw wprv ddute lunh ikllrn,nan,nan,nan,nan,164,0,1/1/07,Some college,?
396821,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,nan,1523-536X,25,7,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,nan,nan,nan,79,0,1/6/01,158-61,{K. FlemingK. DonatoK. Leszczynski}
20010101,nan,nan,Transportation Research Part D-Transport and Environment,nan,1361-9209,41,5,1/9/01,317-32Ţ5,nan
