id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,nan,eng,Proc R Soc Med,Psovtcgpiyv of ehs Glfal Sucieey lr Msdizive,?,64,nan,1/1/71,1187-9,nan
20010101,Wvojq Ciryv GP Nate Lolncqgnylceujn Vzssua XVA Edinynd.,ENG,Rhe Njugnsl of lnfeccllux dixrcwxa,Some college,1537-6613,nan,?,2/15/04,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,0301-4738,54,44,1/6/12,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,nan,nan,nan,Some college,0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
803Ĺ653,DiagnᎡosis and Management of Cutaneous B-cell Lymphoma.,eng,Dermatologic clinics,Dermatol Clin,1558-0520,33,4,1/15/10,835-40,{Lauren C Pinter-Brown}
98234,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,std,nan,nan,nan,10,4,1/9/01,nan,nan
823730,Activation and blockade of beta adrenoceptors in common cardiac dis᭺orders,ĺeng,Br Med Bull,Some college,0007-1420,29,2,1/1/73,163-7,{B N PrichardJ W Black}
729712,20010101,Some college,American journal of respiratory and critical care medicine,nan,nan,164,1,1/1/07,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
396821,Awareness of deficits and on-road driving performance,Ekgkysg,Clinical Neuropsychologist,nan,nan,25,7,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
340222,E compqvajiec txsnoadmkh of vcu gwss agd nzwh ilmihilizqeijg gevkcea bsing rlectwunic kortap hkayhvh,nan,The British journal of radiology,nan,nan,Some college,?,1Ħ/6/01,16-851,{K. FlemingK. භDonatoK. Leszczynski}
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,nan,Transportation Research Part D-Transport and Environment,nan,1361-9209,14,?,1/9/01,317-325,{J. L. LiP. Newcomb}
686927,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1095-0491,8,6,1/15/01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
278396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Acta Obstet Gynecol Scand,Some college,?,92,6,1/13/01,711-5,{T. S. MikkolaS. VuorentoO. YlikorkalaM. Vaisanen-TommiskaP. Rahkola-Soisalo}
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,Heart Rhythm,nan,nan,8,5,1/11/01,S40,{D. Jwmjnron-ErapeA. BqrtoleccmI. XcfqloaS. PgxhaO. O. BarckrcpP. WantamevliF. PynhhsQ. NcraleZ. Fanko FosxiY. PauawgphnpC. HtgdavfkmoK. B. HurnvsrdtX. VvolocciL. Dp Glsve}
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,nan,nan,nan,35,8,1/11/0Œ1,1245-50,?
13601,20010101,egc,British Journal of Dermatology.,nan,0007-0963,140,?,5/1/99,919-21,{R S LeverS A Holme}
668ĸ310,A randomized controlled trial of Tai ⫖chi for balance sleep quality and cognitive performance in elderly Vietnamese.,eng,Clinical Interventions In Aging,Zlht Lntvrv Zbuby,?,nan,-1,1/12/01,185-90,?
282987,Multisystemic Therapy for social emotional and behavioral problems in youth aged 10-17,zuj,-1,nan,1469-493X,0,4,1/5/01,Cd004797,nan
478292,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,eng,Acta Neurochirurgica,nan,Jan-68,139,3,1/1/97,257-8,{Y TakagiN HashimotoY Goto}
nan,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,nan,Medicine and science in sports and exercise,nan,0195-9131,39,nan,1/7/06,991-5,{James C MartinIan MayhewLee M RomerThomas Korff}
82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,eng,Cancer prevention reseႄarch (Philadelphia Pa.),Some college,194ǉ0-6215,Some college,12,1/13/12,Some college,?
nan,A performance improvement process to tackle tachysystole,English,nan,nan,nan,40,0,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,nan
İ514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,any,nan,Cਖ਼ardiovasc Intervent Radiol,nan,37,6,1/ŗ14/12,1530-9,{Luca Maria SconfienzaEzio LanzaGianpaolo CornalbaDario PorettiCatherine CytevalPierre VialaFrancesco SardanelliYann Thouvenin}
569841,.doolb ni AND surivsepreh amocras s'isopaK no amohpmyl s'nikgdoH-non detaicossa-SDIA ni yparehtomehc fo stceffE,nan,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,J. Clin. Oncol.,1527-7755,Some college,51,5/20/09,2496-502,{Stiela NmbOaqrgjcq F Ka'lanRanbine YnAnxbdvdxa L LsymteDicvxxa F ZjnunqrrSnssm E KsjrjHwuce J DeeubxKwn LptOeajneyhe F OefJarn X Kabrqtq}
6207,Serum MMⶍPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease,nan,Svdbfpketlwt Jlucnao jg Gastrkxkvwrjkodi,nan,nan,nan,7,1/12/01,Some college,{Kaija Leena KolhoHanne RintamakiTaina TervahartialaTimo SorsaLaura Makitalo}
21910,Examining waiting placement in hospital: utilization and the lived experience.,eng,Global journal of health science,Glob J Health Sci,1916-9736,6,2,1/14/03,22-Dec,{Donna M WilsonJessica A HewittRalph MagnusJill VihosKaren PetersonNancy Barnes}
378490,A prospective observational study of obesity body composition and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.,eng,The Journal of clinical psychiatry,Some college,?,69,12,1/8/12,1892-900,?
971878,Diminished A-cell secretion in the early phase of type I diabetes mellitus,English,Metabolism: Clinica෧l and Experimental,nan,nan,35,11,1/1/86,1074-1077,nan
793918,Strong stability and host specific bacterial community in faeces of ponies.,eng,PLoS One,PlˠoS one,1932-6203,nan,?,1/13/01,e75079,nan
819166,nan,English,nan,nan,15265161 (ISSN),9,9,nan,W1-W4,{G.T. Gillcch}
880881,[A case lr gkane Ngonmgx's glaia hy[vc[maxia dolgujqq fity ademlmjlmaflls rypegpjaris].,kor,-1,Kptewm J Gadfwofmtgrkm,?,52,6,1/8/12,384-8,{Seung Woo ParkJae Bock ChungSang Kyum KimSi Young SongJoo Won ChungHo Keun KimJoo Hee SeoSeungmin Bang}
629530,.sisylana-atem a :murtceps emordnys yranoroc etuca eht ssorca nirapeh detanoitcarfnu htiw derapmoc nirapaxone nirapeh thgiew ralucelom-wol eht fo ytefas dna ycaciffE,eng,Eur. Heart J.,nan,0195-668X,j28,17,1/7/09,2077-86,{Carolyn H McCabeShaun G GoodmanFrans Van de WerfDavid A MorrowElliott M AntmanEugene BraunwaldKenneth W MahaffeyMarc CohenIan B MenownSabina A MurphyCharles Michael Gibson}
954388,M'nimal Anegtnny Qge wiw Ffgjon Atbenvagds: RY76 Mrsue Abanyxis,Some college,nan,nan,nan,0,0,nan,46,?
379737,Bone density and body composition in young women with chronic fatigue syndrome.,xne,Neuroprotective Agents,nan,0077-8923,904,-1,5/1/00,Some college,}nesnaH RniksoH LrehcluF GhgilB-notfilC PsetaG F{
676042,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,eng,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,J Stroke Cerebrovasc Dis,?,Some college,?,1/15/02,362-9,{Yan-Xin ZhaoJᆂun-Chao XieXue-Yuan LiuHan Yan}
353972,Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan Nigeria.,nan,seidutS htuoY dna nerdlihC elbarenluV,nan,nan,nan,3,1/8/01,243-248,{B O Olley}
968125,nan,English,Respiratiᓨon; international review of thoracic diseases,nan,?,8p8,2,1/14/01,144-147,{N. IzidnimeI. YksrinlL. YdwufukuS. TovhidcY. VakajruJ. Shmthys}
660168,Fat and neurosurgery: does obesity affect outcome after intracranial surgery?,eng,Neurosurgery,Neurosurgery,1524-4040,64,2,1/9/02,316-26; discussion 326-7,{R Loch MacdonaldFarbod Asgarzadie-Gadim㒀Yeon Gyoe JangDaniel J CurryRachel N YanowitchKim E SchultheissJocelyn TolentinoJ_rgen L_ders}
732534,Out of harm's way: curbing violence in the ED,Ebgnivh,Health Facilities Manageઐment,Some college,nan,8,?,1/1/95,20-6 28,{K. Sandrick}
473026,The incidence of contrast-induced nephropathy in trauma patients.,nan,European journal of emergency medicine : official journal of th♷e European Society for Emergency Medicine,Qkd U Emedg Led,1Ǖ473-5695,15,3,1/8/06,Some college,{Rich SinertShoma DesaiAntonia HippCarmen Lopez}
372175,nan,nan,Int. J. Radiat. Oncol. Biol. Phys.,nan,0ǀ360-3016,90,11,nan,S398,{Kooy H.Hong T.S.Symonifka J.Depauw N.Wo J.Y.}
