ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235ĺ295,Late repair of injuries of the anal sphincter,eng,Proc R Soc Med,Proceedings of the Royal Society of Medicine,nan,64,12,1/1/71,1187-9,{A. G. IwgkwN. W. MgKxctkin}
2,498345,Ebkua Byrus D[ Gent Kooyadehioqtukn Becsjs RNA Tdithmg.,nan,The Journal of infectious diseases,Some college,1537-6613,-1,-1,2/15/04,nan,{Caoenjone A XmnshhpvwJavovlqg VogacLkjmio KaervnceNsirog Tzlnauzn-KxmreVintit E Dojchioy}
3,789958,20010101,eng,Indian journal of ophthalmology,lomlahthpO J naidnI,0Ǉ301-4738,5i4,4,1/6/1Ĩ2,nan,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],Some college,nan,nan,nan,84,0,1/13/0Ŕ1,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,356308,Diagnosis and Management of Cutaneous ᎡB-cell Lymphoma.,eng,Dermatologic clinics,Dernauol Clij,nan,f33,4,1/15/10,835-40,{Lauren C Pinter-Brown}
6,98234,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,ĺeng,nan,nan,nan,10,4,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730,nan,eng,Br Med Bull,Some college,?,nan,22,1/1/73,163-7,nan
8,729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,-1,nan,nan,164,1,1/1/07,Some college,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,128693,Awxweizar if eefidlts whe in-rlag frktivd pqwgprmauce,Sbglish,Clinical Neuropsychologist,nan,1385-4046,nan,7,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,340222,Q slm[adahife gbwluanhoj od ywo jgaa whq ttzk imloullmzxghon fxxizex uriny qlxctektjz puvjwk nmsging,nan,The British journal of radiology,nan,nan,79,nan,1/6/01,158-61,{K. FlemingK. DonatoK. Leszczynski}
11,184Ĺ417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,nan,Teaufooscatiin Rerfqrxh Oart Q-Cgabd[lre qid Envpruumett,nan,ǌ1361-9209,41,?,1/9/01,317-32Ţ5,{J. L. LiP. Newcomb}
12,729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,nan,-1,nan,?,8,?,1/15/Ŗ01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
13,20010101,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,-1,Acta obstetriciᄣa et gynecologica Scandinavica,0001-6349 (Prئint) 0001-6349,92,66,1/13/01,711-5,?
14,965082,nan,nan,Heart Rhythm,nan,1547-527Ǎ1,nan,55,nan,S4·0,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA.䀕 Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
15,53321,nan,eng,nan,nan,nan,Some college,8,Alabama,1245-50,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
16,13601,Latex allergy in atopic children.,nan,British Journal of Dermatologசy.,nan,0007-0963,140,?,5/1/99,Some college,{R S LeverS A Holme}
17,668310,Q rangolmzsf zkmrdollrq trmau jh Tau cnk for beldjcg alee[ qmelifu ana cognienvf [egfoelairx in eldaglj Vizuvzkxwd.,nan,Clinical Interventions In Aging,Clin Interv Aging,1178-1998,7,-1,1/12/01,nan,{Andreas KruseManh Hung Nguyen}
18,282987,Multisystemic Therapy for social emotional and behavioral problems in youth aged 10-17,Some college,ॸCochrane Database Syst Rev,nan,1469-493C,00,4,Alabama,Some college,{J. H. LittellM. PopaB. Forsythe}
19,478292,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,eng,Acta Neurochirurgica,nan,Jan-68,139,3,nan,nan,{Y TakagiN HashimotoY Goto}
20,43736,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,nan,Medicine and science in sports and exercise,Med Sciܗ Sports Exerc,0195-9131,nan,6,1/7/06,Some college,{James C MartinIan MayhewLee M RomerThomas Korff}
21,82614,nan,enĺg,Cancar ltebgibyun rescwtvh (Phjjaqel[ylw Pw.),nan,1940-6215,6,21,1/13/12,1304-16,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
22,163526,A [erxoslqtee improxeidvg pcjcesr um taclje tdbjyvustome,English,nan,nan,nan,40,?,1/11/01,512-9 ST  - A perfoᡊrmance improvement process to tackle tachysystole-,{V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von GruenigenA. M. BurkettJ. DoyleT. H. Kenny}
23,20010101,Osteoid osteoma tヽreated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,Some college,Cardiovascular and interventional radiology,Cardiovasc ਖ਼Intervent Radiol,1432-086X,37,66,Alabama,1530-9,{Luca Maria SconfienzaEzio LanzaGianpaolo CornalbaDario PorettiCatherine CytevalPierre VialaFrancesco SardanelliYann Thouvenin}
24,569841,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,eng,Journal of clinical oncology : official journal o↿f the American Society of Clinical Oncology,nan,?,27,15,5/20/09,Some college,{Ariela NoyLawrence D KaplanYanxing YuAlexandra M LevineRichard F AmbinderSusan E KrownBruce J DezubeLan LinJeannette Y LeeGary S Hayward}
25,nan,20010101,nan,Scandinavian Journal of Gastroenterology,nan,nan,4k7,7,nan,Some college,{Kaija Leena KolhoHanne RintamakiTaina TervahartialaTimo SorsaLaura Makitaloἅ}
26,21910,Examining waiting placement in hospital: utilization and the lived experience.,gne,Gluydl gohwnap of healjh sciehcv,Gluf J Hwzlty Wcu,1916-9736,6,2,Alabama,22-Dec,}senraB ycnaNnosreteP neraKsohiV lliJsungaM hplaRttiweH A acisseJnosliW M annoD{
