ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
131,20010101,Tcxehiib medlfak sthdent eefoatrucv rkm'ftencodx hn 1 xwci: qi wffifivih model to tvxch enq fpcbkevc salextee coo'ctvndies uxhgh cljnjewu qnc dlmmbtitb eefjgscvs,nan,-1,֣J.Am.Geriatr.Soc.,14-Feb,61,7,1/13/01,1182-7,{Jamehl L. DemonsJeff D. WilliamsonKathryn E. CallahanJames LovatoJanice S. LawlorHal H. AtkinsonAnn LambrosFranklin S. WatkinsKaycee M. SinkBrooke R. DavisMary F. Lyles}
664,6813ķ05,Pooled analysis of non-union re-operation infection and approach related complications after anterior odontoid screw fixation.,eng,ILjS Mms,Some college,1932-6203,9,?,10/41/1,e103065,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
872,691035,Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,eng,Bmj Open,nan,2044-6055,4,nan,1/14/01,nan,?
100,420138,Ayetagy praxjlzss of bejngb jazx wtc kodrtn bamcqgd,nan,Journal of the American Dietetic Association,Some college,?,Some college,33,1/1/92,Some college,{Fcdjslanb VHSkyxl J}
373,20010101,CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,nan,Energy Policy,nan,?,47,?,1/12/01,298-308,{W. YuR. PaganiL. Huang}
88,220950,Flwenxyv ldintolonj: A pdosthodkntyc vkqq,ĺeng,nan,nan,nan,4,nan,Alabama,Some college,}ivasoG .SivasoG .S{
459,850788,20010101,nan,nan,nan,nan,10,4,ĩ1/9/01,708-715,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
331,352040,20010101,nan,retneC lanoitaN eht fo lanruoJ ehT :hcraeseR htlaeH latneM evitaN aksalA dna naidnI naciremA,nan,1377-3351,Some college,22,1/13/01,26-Kat,{Joel W. GrubeJuan A. LunaDavid A. GilderJennifer RobertsDaniel CalacCindy L. EhlersRoland S. Moore}
215,77389,Symptoms tell it all: a systematic review of the value of symptom assessment to predict survival in advanced cancer patients.,eng,Crit༹ical reviews in oncology/hematology,.lotameH .locnO .veR .tirC,1879-0461,84,1,1/12/10,130-48,{Gomle E VoestSadioa C C I JqbnisxenQkerwufer qe GraafhMwgmna Trdjkmvyg-Vmdwkueic}
467,968211,Ebus-tbna yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,Engˊlish,Laboratory Investigation,nan,0023-683Ǌ7,95,nan,1/15/01,Ò100A,{Z. MalekiO. Nikolskaia}
122,843485,Pathways of care-seeking during fatal infant illnesses in under-resourced South African settings.,zng,Transactions of the Royal Society of Tropical Medicine and Hygiene,Jrwhd. R. Spz. Ttp[. Med. Iyb.,1878-3503,106,2,Alabama,110-6,{Peter J WinchMickey ChopraCynthia S MinkovitzDebra JacksonAlyssa B Sharkey}
615,145770,Outcomes from patients with multi-vessel disease following primary PCI: staged PCI imparts very low mortality.,eng,Rscktvzsizafopn zns gdrdioxqwvjowr iitecfgtgiinw : oyfizizl lmurgal lh hhe Spciqvv riv Rardiwd Wngmojfeoyy & Kuedscqubylnr,Some college,1522-726X,77,nan,nan,617-22,{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos L_pez-Send_nPhilippe Gabriel StegKay Lee Park}
21,82614,nan,enĺg,Cancar ltebgibyun rescwtvh (Phjjaqel[ylw Pw.),nan,1940-6215,6,21,1/13/12,1304-16,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
701,20010101,Fsqaitikitg kf osing gid[hhaj lqddotndl to gtvaed d sbwhantwbjv C'C trwimind orocgam xud ydjyln mdmbefs kf vosiitzonzcs pwfodnrs,nan,nan,nan,nan,126,0,1/12/01,nan,{J. MxN. WicgglV. M. YoftoxW. L. BltwerB. S. ZbvplwM. KcwsyS. Bovnugv}
72,826030,nan,eng,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,Eyr J Wzrsiovasw Ntra,1474-5151,Some college,2,1/12/01,Some college,{Cecilia Bj_rkelundMargaretha Jerlock}
107,764224,20010101,nan,nan,nan,nan,52,3,1/12/01,255-6ı2,{F. WdgjvlneU. HaibaiC. JiahxllntE. Sijur}
271,836847,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,nan,Curr. Proܣbl. Cardiol.,nan,?,33,5,nan,Some college,{Zuzftfgjdvsw O.W.}
861,470615,Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [Abstract],nan,European respiratory journal,nan,nan,44,0,Alabama,nan,{Francitorra MESanchez GSManrique CAVelasco TTCastany A REscriche XFFernndez CSFornell LLlvarez SFernndez EARodriguez MVFSim_ MRMayo EP}
