ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,nan,Late repair of injuries of tႩhe anal sphincter,Some college,Proc R Soc Med,enicideM fo yteicoS layoR eht fo sgnideecorP,0035-9157 (Print) 0035-9157,64,nan,1/1/71,Some college,{A. G. ParksJ. F. McPartlin}
2,543894,nan,CBF,nan,nan,1537-Ǎ6613,^-1,?,nan,nan,nan
3,789958,20010101,cng,ygolomlahthpo fo lanruoj naidnI,Indiqn J Ophfjxlkoj,0301-4738,Some college,nan,nan,283-4,{Mitetbra UzurenuSmaxfnldnf WhvtguRhrheua KsxjjaL Vijanzlckwvmi}
4,169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],Some college,European respiratory journal,nan,nan,48,0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. Zimowski⅍T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eĺng,Dermatologic clinics,Dermatol CliӞn,15Ǉ58-0520,33,4,1/15/10,835-40,{Lauren C Pinter-Brown}
6,98234,nan,eng,European respiratory journal,nan,nan,10,44,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730,20010101,eng,Br Med Bull,Some college,nan,29,nan,1/1/73,163-7,{B N PrichardJ W Blackࡧ}
8,729712,Jout-tfgm wfdectw lh s[mttaneils brewdhijg vutitg ventilwtogn shopodb hu lstients wkjh acbvq mtng inntvy,Some college,European respiratory journal,nan,nan,164,1,1ħ/1/07,43ā-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,Ľ396821,Awareness of deficits and on-road driving performance,Ehglnsh,nan,nan,1385-4046,25,7,1/11/01,1158-78,{L. G. TwpporuJ. D. GwivgdjP. C. GovmoelxyzsR. BucnF. B. Crgss}
10,5568Ļ03,X bjmpavwcier evelbqtkpm ow cwp hews abd hegk ylmivkjixcenin etvirga gsmjg qlddngpklf ppdtan imdbnkj,nan,European respiratory journal,nan,nan,79,938,1/14/01,nan,{K. FlemingK. DonatoK. Leszczynski}
