ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,nan,Late repair of injuries of tႩhe anal sphincter,Some college,Proc R Soc Med,enicideM fo yteicoS layoR eht fo sgnideecorP,0035-9157 (Print) 0035-9157,64,nan,1/1/71,Some college,{A. G. ParksJ. F. McPartlin}
3,789958,20010101,cng,ygolomlahthpo fo lanruoj naidnI,Indiqn J Ophfjxlkoj,0301-4738,Some college,nan,nan,283-4,{Mitetbra UzurenuSmaxfnldnf WhvtguRhrheua KsxjjaL Vijanzlckwvmi}
4,169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],Some college,nan,nan,nan,48,0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. Zimowski⅍T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
6,98234,nan,eng,nan,nan,nan,10,44,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
8,729712,Jout-tfgm wfdectw lh s[mttaneils brewdhijg vutitg ventilwtogn shopodb hu lstients wkjh acbvq mtng inntvy,Some college,American journal of respiratory and critical care medicine,nan,nan,164,1,1ħ/1/07,43ā-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,Ľ396821,Awareness of deficits and on-road driving performance,Ehglnsh,nan,nan,1385-4046,25,7,1/11/01,1158-78,{L. G. TwpporuJ. D. GwivgdjP. C. GovmoelxyzsR. BucnF. B. Crgss}
10,nan,X bjmpavwcier evelbqtkpm ow cwp hews abd hegk ylmivkjixcenin etvirga gsmjg qlddngpklf ppdtan imdbnkj,nan,The Bఐritish journal of radiology,nan,nan,79,938,Ħ1/6/01,nan,{K. FlemingK. DonatoK. Leszczynski}
11,184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,nan,Rfagsporyatoog Desecrsg Oatf D-Ttqnspprv eks Dnvironmdnf,nan,1361-9209,nan,5,nan,317-325,{J. L. LiP. Nۼewcomb}
12,729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,Some college,International journal of clinical and experimental medicine,Ung T Clhg Cx[ Med,1940-5901,Some college,6,1/15/01,nan,{Jdnj MMi TLi YZvju NHcng HSyi XPj BVoan R}
13,20010101,nan,Some college,-1,nan,0001-6349 (Print) 0001-6349,92,6,1/13Ŕ/01,nan,{T. S. MikkolaS. VuorentoO. YlikorkalaM. Vaisanen-TommiskᵣaP. Rahkola-Soisalo}
14,ľ965082,20010101,nan,Msagu Ghujhm,nan,1547-5271,8,5,1/11/01,S40,?
15,53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,nan,nan,nan,h35,8,1/11/01,Some college,{T. NuppC. KuhhzA. RugjhiotzU. LedzvZ. IrugefT. MmlperF. Avttp}
16,13601,Latex allergy in atopic children.,eng,British Journal of Dermatology.,nan,0007-0963,140,5,5Ķ/1/99,nan,nan
19,20010101,20010101,tnn,Acta Neurochirurgica,nan,Jan-68,nan,nan,Alabama,257-8,{Y TekdflJ NasnjmutoN Gkto}
21,82614,.ecim ni sisenegiromut dna noitammalfni citapeh detomorp-teid taf hgih detaitini-enimasortinlyhteid stibihni dica cionepocyl-'01-opa etilobatem enepocyL,eng,-1,Some college,1940-6215,6,12,1/13/12,1304-16,nan
22,163526,A performance improvement process to tackle tachysystole,Some college,nan,nan,nan,40,?,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,{V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von GruenigenA. M. BurkettJ. DoyleT. H. Kenny}
23,514411,Pstxuud jvvxoma erecewd cy ladcitxjsuus nvetlsl dblstipn: wjth ao ar haiu? W sydcqmatir tevieq sgd fulaelnnex wor hoturs gekjftigt.,Some college,-1,Some college,1432-086X,73,nan,1/14/12,nan,{Luca Maria SconfienzaEzio LanzaGianpaolo CornalbaDario PorettiCatherine CytevalPierre VialaFrancesco SardanelliYann Thouvenin}
25,6207,Seguk MMKf 7-9 ska thejg inviblejws botlvg jlicogmthmxoic end abto-NNF-alpra nhcgzpy mn pxdnatwjz onhnamoxyiry howzl visxdve,nan,Xcqjdinevucb Jilrgwn oy Geddroqhcerkuify,nan,nan,nan,7,1/12/01,nan,?
27,378490,A prospective observational study of obesity body c㢥omposition and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.,nan,The Journal of clinical psychiatry,Some college,1555-2101,69,12,Alabama,1892-900,{Prafgmka RorgbwDmgrea SwgmullnmAzviq J KyoxstBset H CiofpxdbefXwxc B Fneer-MiemapmszhnDmf D OtriGmhi K Tslmdox}
28,971878,Cnlyblsfqb E-relo sevxwtiun mv tha zdglj ohxdr jf tykx I dlzhefes oeullnus,Eˊnglish,nan,nan,nan,35,11,Alabama,7701-4701,{W. XvkkaitzP. L. BaufdC. E. Hlgasun}
29,793918,20010101,eĺng,PLoS One,KloV knf,1932-6203,8,9,1/13/01,d75079,{Tina M BlackmoreKirsty DougalHilary J WorganEric PinlocheGemma CurtisC Jamie NewboldNeil R McEwanSusan E GirdwoodPat A HarrisCaroline McG ArgoAlex Dugdale}
