model,make,type,year,condition,wheelDrive,doors,engine
rdx,acura,suv,2011,new,awd,4,2.3li4
tsx,acura,sedan,2011,new,fwd,4,2.4li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
mdx,acura,suv,2007,used,awd,4,3.7lv6
tl,acura,sedan,2004,used,fwd,4,3.2lv6
zdx,acura,suv,2010,new,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tl*,acura,sedan,2010,new,fwd,4,3.5lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
tl,acura,sedan,2006,used,fwd,4,3.2lv6
mdx,acura,suv,2007,used,awd,3,3.7lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tl,acura,sedan,2001,used,fwd,4,3.2lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
zdx,acura,suv,2010,new,awd,4,3.7lv6
rdx,acura,suv,2011,new,fwd,4,2.3li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
rdx,acura,suv,2011,new,awd,4,2.3li4
rdx,acura,suv,2011,new,fwd,4,2.3li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tl,acura,sedan,2010,new,fwd,4,3.5lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2010,new,fwd,4,3.5lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
tl,acura,sedan,2008,used,fwd,4,3.5lv6
rdx,acura,suv,2008,used,awd,4,2.3li4
rdx,acura,suv,2011,new,awd,4,2.3li4
rdx,acura,suv,2011,new,fwd,4,2.3li4
tl,acura,sedan,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2011,new,fwd,4,2.4li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
rl,acura,sedan,2010,new,awd,4,3.7lv6
tl,acura,sedan,2011,new,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tl,acura,sedan,2008,used,fwd,4,3.2lv6
cl,acura,coupe,1999,used,fwd,2,3.0lv6
tsx,acura,sedan,2011,new,fwd,4,2.4li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tl*,acura,sedan,2011,new,fwd,4,3.5lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
mdx,acura,suv,2007,used,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tl,acura,sedan,2011,new,awd,4,3.7lv6
rdx,acura,suv,2011,new,awd,4,2.3li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2011,new,fwd,4,2.4li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
rsx,acura,coupe,2004,used,fwd,2,2.0li4
zdx,acura,suv,2011,new,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
tsx,acura,sedan,2010,new,fwd,4,2.4li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
tl,acura,sedan,2010,new,fwd,4,3.5lv6
rdx,acura,suv,2011,new,awd,4,2.3li4
rdx,acura,suv,2010,used,fwd,4,2.3li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2011,new,fwd,4,2.4li4
tsx,acura,sedan,2010,new,fwd,4,2.4li4
rdx,acura,suv,2011,new,awd,4,2.3li4
tsx,acura,sedan,2010,new,fwd,4,2.4li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
mdx,acura,suv,2005,used,4x4,4,3.5lv6
mdx,acura,suv,2007,used,awd,4,3.7lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
tsx,acura,sedan,2011,new,fwd,4,2.4li4
mdx,acura,suv,2008,used,awd,4,3.7lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
rdx,acura,suv,2011,new,fwd,4,2.3li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
rdx,acura,suv,2011,new,fwd,4,2.3li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
rdx,acura,suv,2011,new,awd,4,2.3li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
cl,acura,coupe,1997,used,fwd,2,2.2li4
zdx,acura,suv,2010,new,awd,4,3.7lv6
tl,acura,sedan,2005,used,fwd,4,3.2lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
mdx,acura,suv,2008,used,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tl*,acura,sedan,2011,new,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2008,used,fwd,4,2.4li4
tsx,acura,sedan,2011,new,fwd,4,2.4li4
mdx,acura,suv,2008,used,awd,4,3.7lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
rdx,acura,suv,2011,new,fwd,4,2.3li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
rdx,acura,suv,2010,new,awd,4,2.3li4
tl,acura,sedan,1997,used,fwd,4,3.2lv6
tsx,acura,sedan,2011,new,fwd,4,2.4li4
tl,acura,sedan,2011,new,awd,4,3.7lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tsx,acura,sedan,2011,new,fwd,4,2.4li4
mdx,acura,suv,2008,used,awd,4,3.7lv6
mdx,acura,suv,2011,new,awd,3,3.7lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
tsx,acura,sedan,2011,new,fwd,4,2.4li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tl,acura,sedan,2009,used,fwd,4,3.5lv6
rl*,acura,sedan,1996,used,fwd,4,3.5lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
mdx,acura,suv,2011,new,awd,4,3.7lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tsx,acura,sedan,2010,new,fwd,4,2.4li4
tsx,acura,sedan,2011,new,fwd,4,2.4li4
tsx*,acura,sedan,2008,used,fwd,4,2.4li4
tl,acura,sedan,2011,new,fwd,4,3.5lv6
tsx,acura,sedan,2011,new,fwd,4,2.4li4
rdx,acura,suv,2011,new,fwd,4,2.3li4
tsx,acura,sedan,2011,new,fwd,4,2.4li4
rdx,acura,suv,2008,used,awd,4,2.3li4
tsx*,acura,sedan,2011,new,fwd,4,2.4li4
tl,acura,sedan,2011,new,awd,4,3.7lv6
tsx,acura,sedan,2011,new,fwd,4,2.4li4
mdx,acura,suv,2011,new,awd,4,3.7lv6
tl,acura,sedan,2011,new,fwd,4,3.5lv6
rl,acura,sedan,1998,used,fwd,4,3.5lv6
tl,acura,sedan,2010,new,awd,4,3.7lv6
