ID,model,make,type,year,condition,wheelDrive,doors,engine
1,rdx,acura,suv,2011,new,awd,4,2.3li4
2,tsx,acura,sedan,2011,new,fwd,4,2.4li4
3,tl,acura,sedan,2011,new,fwd,4,3.5lv6
4,mdx,acura,suv,2007,used,awd,4,3.7lv6
5,tl,acura,sedan,2004,used,fwd,4,3.2lv6
6,zdx,acura,suv,2010,new,awd,4,3.7lv6
7,mdx,acura,suv,2011,new,awd,4,3.7lv6
8,mdx,acura,suv,2011,new,awd,4,3.7lv6
9,tl,acura,sedan,2010,new,fwd,4,3.5lv6
10,tsx,acura,sedan,2010,new,fwd,4,2.4li4
11,tl,acura,sedan,2006,used,fwd,4,3.2lv6
12,mdx,acura,suv,2007,used,awd,4,3.7lv6
13,tl,acura,sedan,2011,new,fwd,4,3.5lv6
14,tl,acura,sedan,2001,used,fwd,4,3.2lv6
15,tl,acura,sedan,2011,new,fwd,4,3.5lv6
16,mdx,acura,suv,2011,new,awd,4,3.7lv6
17,zdx,acura,suv,2010,new,awd,4,3.7lv6
18,rdx,acura,suv,2011,new,fwd,4,2.3li4
19,tl,acura,sedan,2011,new,fwd,4,3.5lv6
20,rdx,acura,suv,2011,new,awd,4,2.3li4
21,rdx,acura,suv,2011,new,fwd,4,2.3li4
22,mdx,acura,suv,2011,new,awd,4,3.7lv6
23,mdx,acura,suv,2011,new,awd,4,3.7lv6
24,tl,acura,sedan,2010,new,fwd,4,3.5lv6
25,mdx,acura,suv,2011,new,awd,4,3.7lv6
26,tsx,acura,sedan,2010,new,fwd,4,3.5lv6
27,tsx,acura,sedan,2010,new,fwd,4,2.4li4
28,mdx,acura,suv,2011,new,awd,4,3.7lv6
29,tl,acura,sedan,2008,used,fwd,4,3.5lv6
30,rdx,acura,suv,2008,used,awd,4,2.3li4
31,rdx,acura,suv,2011,new,awd,4,2.3li4
32,rdx,acura,suv,2011,new,fwd,4,2.3li4
33,tl,acura,sedan,2011,new,awd,4,3.7lv6
34,tsx,acura,sedan,2011,new,fwd,4,2.4li4
35,mdx,acura,suv,2011,new,awd,4,3.7lv6
36,rl,acura,sedan,2010,new,awd,4,3.7lv6
37,tl,acura,sedan,2011,new,awd,4,3.7lv6
38,mdx,acura,suv,2011,new,awd,4,3.7lv6
39,tl,acura,sedan,2008,used,fwd,4,3.2lv6
40,cl,acura,coupe,1999,used,fwd,2,3.0lv6
41,tsx,acura,sedan,2011,new,fwd,4,2.4li4
42,tl,acura,sedan,2011,new,fwd,4,3.5lv6
43,tl,acura,sedan,2011,new,fwd,4,3.5lv6
44,mdx,acura,suv,2011,new,awd,4,3.7lv6
45,tsx,acura,sedan,2010,new,fwd,4,2.4li4
46,mdx,acura,suv,2011,new,awd,4,3.7lv6
47,mdx,acura,suv,2007,used,awd,4,3.7lv6
48,mdx,acura,suv,2011,new,awd,4,3.7lv6
49,tl,acura,sedan,2011,new,awd,4,3.7lv6
50,rdx,acura,suv,2011,new,awd,4,2.3li4
51,mdx,acura,suv,2011,new,awd,4,3.7lv6
52,tsx,acura,sedan,2011,new,fwd,4,2.4li4
53,tl,acura,sedan,2011,new,fwd,4,3.5lv6
54,tsx,acura,sedan,2010,new,fwd,4,2.4li4
55,rsx,acura,coupe,2004,used,fwd,2,2.0li4
56,zdx,acura,suv,2011,new,awd,4,3.7lv6
57,mdx,acura,suv,2011,new,awd,4,3.7lv6
58,mdx,acura,suv,2011,new,awd,4,3.7lv6
59,tsx,acura,sedan,2010,new,fwd,4,2.4li4
60,tsx,acura,sedan,2010,new,fwd,4,2.4li4
61,tl,acura,sedan,2011,new,fwd,4,3.5lv6
62,tl,acura,sedan,2011,new,fwd,4,3.5lv6
