ID,model,make,type,year,condition,wheelDrive,doors,engine
69,integra,acura,sedan,1991,used,fwd,4,1.8li4
79,legend,acura,sedan,1988,used,fwd,4,2.7lv6
217,tsx,acura,wagon,2011,new,fwd,4,2.4li4
230,tsx,acura,wagon,2011,new,fwd,4,2.4li4
307,zdx,acura,suv,2010,used,awd,4,3.7lv6
313,rsx,acura,coupe,2004,used,fwd,2,2.0li4
342,cl,acura,coupe,1999,used,fwd,2,3.0lv6
376,zdx,acura,suv,2011,new,awd,4,3.7lv6
412,cl,acura,coupe,1999,used,fwd,2,3.0lv6
435,zdx,acura,suv,2010,new,awd,4,3.7lv6
467,rdx,acura,suv,2011,new,fwd,4,2.3li4
474,rl,acura,sedan,2011,new,awd,4,3.7lv6
483,rsx,acura,coupe,2003,used,fwd,2,2.0li4
485,tl,acura,sedan,2011,new,fwd,4,3.5lv6
490,tl,acura,sedan,2011,new,awd,4,3.7lv6
491,tsx,acura,sedan,2011,new,fwd,4,2.4li4
492,tl,acura,sedan,2005,used,fwd,4,3.2lv6
495,tsx,acura,sedan,2011,new,fwd,4,2.4li4
496,tl,acura,sedan,2011,new,fwd,4,3.5lv6
497,tl,acura,sedan,2011,new,fwd,4,3.5lv6
498,rdx,acura,suv,2011,new,awd,4,2.3li4
501,tl,acura,sedan,2008,used,fwd,4,3.2lv6
502,rdx,acura,suv,2011,new,awd,4,2.3li4
503,tsx,acura,sedan,2011,new,fwd,4,3.5lv6
505,tsx,acura,sedan,2011,new,fwd,5,2.4li4
506,tl,acura,sedan,2005,used,fwd,4,3.2lv6
507,tl,acura,sedan,2011,new,awd,4,3.7lv6
508,tl,acura,sedan,2002,used,fwd,4,3.2lv6
509,rl,acura,sedan,2009,used,awd,4,3.7lv6
510,tl,acura,sedan,2010,new,awd,4,3.7lv6
511,zdx,acura,suv,2010,used,awd,4,3.7lv6
512,tl,acura,sedan,2011,new,awd,4,3.7lv6
514,tsx,acura,sedan,2011,new,fwd,4,2.4li4
515,tsx,acura,sedan,2011,new,fwd,4,2.4li4
516,tsx,acura,sedan,2010,new,fwd,4,2.4li4
517,tsx,acura,sedan,2011,new,fwd,4,2.4li4
518,tsx,acura,sedan,2011,new,fwd,4,2.4li4
519,tl,acura,sedan,2011,new,fwd,4,3.5lv6
520,tsx,acura,sedan,2010,new,fwd,4,3.5lv6
521,rsx,acura,coupe,2004,used,fwd,2,2.0li4
522,tsx,acura,sedan,2011,new,fwd,4,2.4li4
523,tsx,acura,sedan,2008,used,fwd,4,2.4li4
524,tl,acura,sedan,2011,new,fwd,4,3.5lv6
525,tl,acura,sedan,2011,new,fwd,4,3.5lv6
527,rdx,acura,suv,2011,new,fwd,4,2.3li4
528,tl,acura,sedan,2007,used,fwd,4,3.2lv6
529,mdx,acura,suv,2011,new,awd,4,3.7lv6
530,tsx,acura,sedan,2011,new,fwd,4,2.4li4
531,rl,acura,sedan,2011,new,awd,4,3.7lv6
532,tsx,acura,sedan,2011,new,fwd,4,2.4li4
533,tsx,acura,sedan,2011,new,fwd,4,2.4li4
535,tsx,acura,sedan,2011,new,fwd,4,2.4li4
536,mdx,acura,suv,2011,new,awd,4,3.7lv6
537,tsx,acura,sedan,2011,new,fwd,4,2.4li4
538,mdx,acura,suv,2010,new,awd,4,3.7lv6
539,mdx,acura,suv,2011,new,awd,4,3.7lv6
540,mdx,acura,suv,2011,new,awd,4,3.7lv6
541,rdx,acura,suv,2011,new,awd,4,2.3li4
542,tl,acura,sedan,2011,new,fwd,4,3.5lv6
543,rdx,acura,suv,2011,new,awd,4,2.3li4
544,tl,acura,sedan,2011,new,awd,4,3.7lv6
545,tl,acura,sedan,2011,new,fwd,4,3.5lv6
546,tsx,acura,sedan,2011,new,fwd,4,2.4li4
547,tl,acura,sedan,2004,used,fwd,4,3.2lv6
548,mdx,acura,suv,2007,used,awd,4,3.7lv6
549,rdx,acura,suv,2011,new,fwd,4,2.3li4
550,mdx,acura,suv,2011,new,awd,4,3.7lv6
551,tsx,acura,sedan,2011,new,fwd,4,2.4li4
552,tl,acura,sedan,2011,new,fwd,4,3.5lv6
553,mdx,acura,suv,2011,new,awd,4,3.7lv6
554,tl,acura,sedan,2011,new,fwd,4,3.5lv6
555,tsx,acura,sedan,2010,new,fwd,4,3.5lv6
556,mdx,acura,suv,2011,new,awd,4,3.7lv6
557,cl,acura,coupe,2001,used,fwd,2,3.2lv6
559,tl,acura,sedan,1997,used,fwd,4,3.2lv6
561,tl,acura,sedan,2011,new,fwd,4,3.5lv6
562,tsx,acura,sedan,2010,new,fwd,4,2.4li4
563,mdx,acura,suv,2011,new,awd,4,3.7lv6
564,tl,acura,sedan,2010,new,fwd,4,3.5lv6
565,tsx,acura,sedan,2011,new,fwd,4,2.4li4
566,tl,acura,sedan,2005,used,fwd,4,3.2lv6
567,tsx,acura,sedan,2011,new,fwd,4,2.4li4
568,tl,acura,sedan,2011,new,fwd,4,3.5lv6
569,tsx,acura,sedan,2011,new,fwd,4,2.4li4
570,cl,acura,coupe,1999,used,fwd,5,3.0lv6
571,tl,acura,sedan,2011,new,fwd,4,3.5lv6
572,mdx,acura,suv,2009,used,awd,4,3.7lv6
573,tsx,acura,sedan,2010,used,fwd,4,2.4li4
574,rdx,acura,suv,2011,new,awd,4,2.3li4
575,tsx,acura,sedan,2011,new,fwd,4,2.4li4
576,mdx,acura,suv,2011,new,awd,4,3.7lv6
577,rl,acura,sedan,1998,used,fwd,4,3.5lv6
